Kod,Benämning
64.212,Holdingverksamhet i icke-finansiella koncerner
64.220,Conduitverksamhet
64.310,Penningmarknadsfonder och andra fonder än penningmarknadsfonder
64.320,Stiftelser dödsbon och brevlådeföretag
64.910,Finansiell leasing
64.920,Annan kreditgivning
64.991,Investmentverksamhet
64.992,Riskkapitalbolagsverksamhet
64.993,Handel med och förvaltning av värdepapper för egen räkning
64.994,Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare
64.999,Diverse övrig finansförmedling
65.111,Fondanknuten livförsäkring
65.119,Övrig livförsäkring
65.120,Skadeförsäkring
65.200,Återförsäkring
65.300,Pensionsfondsverksamhet
66.110,Administration avseende finansiella marknader
66.120,Verksamhet utförd av värdepappers- och varumäklare
66.190,Annan stödverksamhet avseende finansiella tjänster utom försäkrings- och pensionsfondsverksamhet
66.210,Risk- och skadebedömning
66.220,Verksamhet utförd av försäkringsombud och försäkringsmäklare
66.290,Andra stödtjänster till försäkring och pensionsfondsverksamhet
66.301,Förvaltning av investeringsfonder
66.309,Annan fondförvaltning
68.110,Handel med egna fastigheter
68.120,Utformning av byggprojekt
68.201,Uthyrning och förvaltning av egna eller arrenderade bostäder
68.202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
68.203,Uthyrning och förvaltning av egna eller arrenderade andra lokaler
68.204,Förvaltning i bostadsrättsföreningar
68.209,Övrig förvaltning av egna eller arrenderade fastigheter
68.310,Fastighetsförmedling
68.320,Fastighetsförvaltning på uppdrag
69.101,Advokatbyråverksamhet
69.102,Juridiska byråers verksamhet m.m.
69.201,Redovisning och bokföring; skatterådgivning
69.202,Revision
70.100,Verksamheter som utövas av huvudkontor
70.200,Konsultverksamhet avseende företags organisation
71.110,Arkitektverksamhet
71.121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
71.122,Teknisk konsultverksamhet inom industriteknik
71.123,Teknisk konsultverksamhet inom elteknik
71.124,Teknisk konsultverksamhet inom energi- miljö- och VVS-teknik
71.129,Övrig teknisk konsultverksamhet
71.200,Teknisk provning och analys
72.101,Bioteknisk forskning och utveckling
72.109,Annan naturvetenskaplig och teknisk forskning och utveckling
72.200,Samhällsvetenskaplig och humanistisk forskning och utveckling
73.111,Reklambyråverksamhet
73.112,Direktreklamverksamhet
73.119,Övrig reklamverksamhet
73.120,Mediebyråverksamhet och annonsförsäljning
73.200,Marknads- och opinionsundersökning
73.300,PR och kommunikation
74.110,Industridesign och modedesign
74.120,Grafisk design och visuell kommunikation
74.130,Inredningsdesign
74.140,Annan specialiserad designverksamhet
74.200,Fotoverksamhet
74.300,Översättning och tolkning
74.910,Patentförmedling samt marknadsföring av patent
74.990,All övrig verksamhet inom juridik ekonomi vetenskap och teknik
75.000,Veterinärverksamhet
77.110,Uthyrning och leasing av personbilar och lätta motorfordon
77.120,Uthyrning och leasing av lastbilar och andra tunga motorfordon
77.210,Uthyrning och leasing av fritids- och sportutrustning
77.220,Uthyrning och leasing av andra hushållsartiklar och varor för personligt bruk
77.310,Uthyrning och leasing av jordbruksmaskiner och jordbruksredskap
77.320,Uthyrning och leasing av bygg- och anläggningsmaskiner
77.330,Uthyrning och leasing av kontorsmaskiner kontorsutrustning och datorer
77.340,Uthyrning och leasing av fartyg och båtar
77.350,Uthyrning och leasing av flygplan
77.390,Uthyrning och leasing av diverse övrig utrustning samt diverse övriga maskiner och materiella tillgångar
77.400,Leasing av immateriell egendom och liknande produkter med undantag för upphovsrättsskyddade verk
77.510,Förmedling avseende uthyrning och leasing av personbilar husbilar och släpfordon
77.520,Förmedling avseende uthyrning och leasing av andra materiella tillgångar och icke-finansiella immateriella tillgångar
78.100,Arbetsförmedling och rekrytering
78.201,Personaluthyrning
78.202,Övrigt tillhandahållande av personalfunktioner
79.110,Resebyråverksamhet
79.120,Researrangemang
79.900,Turist- och bokningsverksamhet
80.010,Bevakningsverksamhet och privat säkerhetsverksamhet
80.090,Övrig säkerhetsverksamhet
81.100,Fastighetsrelaterad stödverksamhet
81.210,Lokalvård
81.221,Rengöring av byggnader
81.222,Skorstensfejarverksamhet
81.230,Annan rengöring
81.300,Skötsel och underhåll av grönytor
82.100,Kontorstjänster
82.200,Callcenterverksamhet
82.300,Arrangemang av kongresser och mässor
82.400,Förmedling avseende övrig stödverksamhet till företag
82.910,Inkassoföretags och kreditupplysningsföretags verksamhet
82.920,Förpackningsverksamhet
82.990,Diverse övrig stödverksamhet till företag
84.110,Övergripande offentlig förvaltning
84.121,Offentlig förvaltning av grundskole- och gymnasieskoleutbildning
84.122,Offentlig förvaltning av universitets- och högskoleutbildning samt forskning
84.123,Offentlig förvaltning av hälso- och sjukvård
84.124,Offentlig förvaltning av omsorg och socialtjänst
84.125,Offentlig förvaltning av program för kultur miljö boende m.m.
84.130,Offentlig förvaltning av näringslivsprogram
84.210,Utrikesförvaltning
84.221,Militärt försvar; gemensam verksamhet för totalförsvaret
84.222,Civilt försvar och frivilligförsvar
84.231,Åklagar- och domstolsverksamhet
84.232,Kriminalvård
84.240,Polisverksamhet
84.250,Brand- och räddningsverksamhet
84.300,Obligatorisk socialförsäkring
85.100,Förskoleutbildning
85.201,Grundskoleutbildning och förskoleklass
85.202,Utbildning inom anpassad grundskola
85.311,Studieförberedande gymnasial utbildning utom kommunal vuxenutbildning
85.312,Kommunal vuxenutbildning o.d.
85.321,Gymnasial yrkesutbildning
85.322,Utbildning inom anpassad gymnasieskola
85.323,Annan gymnasial utbildning
85.324,Yrkesförarutbildning m.m.
85.330,Eftergymnasial utbildning vid annat än universitet och högskola
85.400,Universitets- eller högskoleutbildning
85.510,Sport- och fritidsutbildning
85.521,Kommunala kulturskolans utbildning
85.522,Övrig musik- dans- och kulturell utbildning
85.530,Trafikskoleverksamhet
85.591,Arbetsmarknadsutbildning
85.592,Folkhögskoleutbildning
85.593,Studieförbundens och frivilligorganisationernas utbildning
85.594,Personalutbildning
85.599,Annan övrig utbildning
85.610,Förmedling avseende kurser och övrig undervisning
85.690,Övrig stödverksamhet för utbildningsväsendet
86.101,Sluten primärvård
86.102,Specialiserad sluten somatisk hälso- och sjukvård på sjukhus
86.103,Specialiserad sluten psykiatrisk hälso- och sjukvård på sjukhus
86.211,Primärvårdsmottagningar med läkare m.m.
86.212,Annan allmän öppen hälso- och sjukvård ej primärvård
86.221,Specialistläkarverksamhet inom öppenvård på sjukhus
86.222,Specialistläkarverksamhet inom öppenvård ej på sjukhus
86.230,Tandläkarverksamhet
86.910,Medicinsk laboratorieverksamhet och bilddiagnostik
86.920,Ambulanstransporter och ambulanssjukvård
86.930,Psykologi- och psykoterapiverksamhet utom läkare
86.940,Sjuksköterske- och barnmorskeverksamhet primärvård
86.950,Fysioterapeutisk verksamhet
86.960,Traditionell komplementär och alternativ medicin
86.970,Förmedling avseende sjukvård tandvård och annan hälso- och sjukvård
86.991,Tandhygienistverksamhet
86.999,Annan övrig hälso- och sjukvård
87.100,Boende med sjuksköterskevård
87.201,Boende med särskild service för personer med psykisk funktionsnedsättning
87.202,Boende med särskild service för barn och ungdomar med missbruksproblem
87.203,Boende med särskild service för vuxna med missbruksproblem
87.301,Vård och omsorg i särskilda boendeformer för äldre personer
87.302,Vård och omsorg i särskilda boendeformer för personer med fysisk funktionsnedsättning
87.910,Förmedling avseende vård och omsorg med boende
87.991,Heldygnsvård med boende för barn och ungdomar med sociala problem
87.992,Omsorg och sociala insatser i övriga boendeformer för vuxna
88.101,Öppna sociala insatser för äldre personer
88.102,Öppna sociala insatser för personer med funktionsnedsättning
88.910,Dagbarnvård
88.991,Öppna sociala insatser för barn och ungdomar med sociala problem
88.992,Öppna sociala insatser för vuxna med missbruksproblem
88.993,Övriga öppna sociala insatser för vuxna
88.994,Humanitära insatser
88.995,Drift av flyktingförläggning
90.110,Litterärt skapande och musikkomposition
90.120,Bildkonst
90.130,Annat konstnärligt skapande
90.200,Scenkonst
90.310,Drift av teatrar konserthus o.d.
90.390,Annan stödverksamhet avseende konstnärligt skapande och scenkonst
91.110,Biblioteksverksamhet
91.120,Arkivverksamhet
91.210,Museiverksamhet och museisamlingar
91.220,Vård av historiska minnesmärken och monument
91.300,Bevarande restaurering och annan stödverksamhet avseende kulturarv
91.410,Drift av botaniska trädgårdar och djurparker
91.420,Drift av naturreservat
92.000,Spel- och vadhållningsverksamhet
93.111,Drift av skidsportanläggningar
93.112,Drift av golfbanor
93.113,Drift av motorbanor
93.114,Drift av trav- och galoppbanor
93.119,Drift av sporthallar idrottsplatser och andra sportanläggningar
93.120,Sportklubbars och idrottsföreningars verksamhet
93.130,Drift av gymanläggningar
93.191,Tävling med hästar
93.199,Övrig sportverksamhet
93.210,Nöjes- och temaparksverksamhet
93.290,Övrig fritids- och nöjesverksamhet
94.111,Intressebevakning inom branschorganisationer
94.112,Intressebevakning inom arbetsgivarorganisationer
94.120,Intressebevakning inom yrkesorganisationer
94.200,Intressebevakning inom arbetstagarorganisationer
94.910,Verksamhet i religiösa samfund
94.920,Verksamhet i politiska organisationer
94.990,Verksamhet i diverse övriga intresseorganisationer
95.101,Reparation av datorer och kringutrustning
95.102,Reparation av kommunikationsutrustning
95.210,Reparation och underhåll av hemelektronik
95.220,Reparation och underhåll av hushållsapparater samt av utrustning för hem och trädgård
95.230,Reparation och underhåll av skodon och lädervaror
95.240,Reparation och underhåll av möbler och heminredning
95.250,Reparation och underhåll av ur och guldsmedsvaror
95.290,Reparation och underhåll av övriga hushållsartiklar och varor för personligt bruk
95.311,Allmän service och reparation av motorfordon utom motorcyklar
95.312,Plåt- lack- och glasreparationer på motorfordon utom motorcyklar
95.313,Däckservice
95.320,Reparation och underhåll av motorcyklar
95.400,Förmedling avseende reparation och underhåll av datorer hushållsartiklar och varor för personligt bruk samt motorfordon och motorcyklar
96.101,Industri- och institutionstvätt
96.102,Konsumenttvätt
96.210,Frisörer och barberare
96.220,Skönhetsvård och andra skönhetsbehandlingar
96.230,Dagspa bastu och ångbastu
96.300,Begravningsverksamhet
96.400,Förmedling avseende konsumenttjänster
96.910,Tillhandahållande av konsumenttjänster i hemmet
96.990,Diverse övriga konsumenttjänster
97.000,Förvärvsarbete i hushåll
98.100,Hushållens produktion av diverse varor för eget bruk
98.200,Hushållens produktion av diverse tjänster för eget bruk
99.000,Verksamhet vid internationella organisationer utländska ambassader o.d.
