Kod,Benämning
19.200,Tillverkning av raffinerade petroleumprodukter och fossila bränsleprodukter
20.110,Industrigasframställning
20.120,Tillverkning av färgämnen
20.130,Tillverkning av andra oorganiska baskemikalier
20.140,Tillverkning av andra organiska baskemikalier
20.150,Tillverkning av gödselmedel och kväveprodukter
20.160,Basplastframställning
20.170,Tillverkning av syntetiskt basgummi
20.200,Tillverkning av bekämpningsmedel desinfektionsmedel och andra lantbrukskemiska produkter
20.300,Tillverkning av färg lack tryckfärg m.m.
20.410,Tillverkning av tvål såpa tvättmedel och polermedel
20.420,Tillverkning av parfym och toalettartiklar
20.510,Tillverkning av flytande biobränslen
20.591,Sprängämnestillverkning
20.592,Tillverkning av lim
20.593,Tillverkning av eteriska oljor
20.599,Tillverkning av övriga kemiska produkter
20.600,Konstfibertillverkning
21.100,Tillverkning av farmaceutiska basprodukter
21.200,Tillverkning av läkemedel
22.110,Tillverkning och regummering av däck tillverkning av slangar
22.120,Annan gummivarutillverkning
22.210,Tillverkning av plasthalvfabrikat
22.220,Plastförpackningstillverkning
22.230,Tillverkning av dörrar och fönster av plast
22.240,Byggplastvarutillverkning
22.250,Bearbetning och slutbehandling av plastvaror
22.260,Annan plastvarutillverkning
23.110,Tillverkning av planglas
23.120,Bearbetning av planglas
23.130,Tillverkning av buteljer glasförpackningar och husgeråd av glas
23.140,Tillverkning av glasfiber
23.150,Tillverkning av andra glasvaror inklusive tekniska glasvaror
23.200,Tillverkning av eldfasta produkter
23.310,Tillverkning av keramiska golv- och väggplattor
23.320,Tillverkning av murtegel takpannor och andra byggvaror av tegel
23.410,Tillverkning av keramiska hushålls- och prydnadsartiklar
23.420,Tillverkning av keramiska sanitetsartiklar
23.430,Tillverkning av keramiska isolatorer o.d.
23.440,Tillverkning av andra tekniska keramiska produkter
23.450,Tillverkning av andra keramiska produkter
23.510,Tillverkning av cement
23.520,Tillverkning av kalk och gips
23.610,Tillverkning av betongvaror för byggändamål
23.620,Tillverkning av gipsvaror för byggändamål
23.630,Tillverkning av fabriksblandad betong
23.640,Tillverkning av murbruk
23.650,Tillverkning av fibercementvaror
23.660,Tillverkning av andra varor av betong cement och gips
23.701,Huggning formning och slutlig bearbetning av sten för byggnadsändamål
23.709,Huggning formning och slutlig bearbetning av sten för prydnadsändamål
23.910,Tillverkning av slipmedel
23.991,Tillverkning av varor av sten- och mineralull
23.999,Diverse övrig tillverkning av icke-metalliska mineraliska produkter
24.100,Framställning av järn och stål samt ferrolegeringar
24.200,Tillverkning av rör ledningar ihåliga profiler och tillbehör av stål
24.310,Tillverkning av kalldragen stålstång
24.320,Tillverkning av kallvalsade stålband
24.330,Tillverkning av andra kallformade produkter av stål
24.340,Tillverkning av kalldragen ståltråd
24.410,Framställning av ädla metaller
24.420,Framställning av aluminium
24.430,Framställning av bly zink och tenn
24.440,Framställning av koppar
24.450,Framställning av andra metaller
24.460,Tillverkning av kärnbränsle
24.510,Gjutning av järn
24.520,Gjutning av stål
24.530,Gjutning av lättmetall
24.540,Gjutning av andra metaller
25.110,Tillverkning av metallstommar och delar därav
25.120,Tillverkning av dörrar och fönster av metall
25.210,Tillverkning av radiatorer ånggeneratorer och pannor för centraluppvärmning
25.220,Tillverkning av andra cisterner tankar kar och andra behållare av metall
25.300,Tillverkning av vapen och ammunition
25.400,Smidning och formning av metall och pulvermetallurgi
25.510,Beläggning och överdragning av metall
25.520,Värmebehandling av metall
25.530,Metallegoarbeten
25.610,Tillverkning av bestick
25.620,Tillverkning av lås och gångjärn
25.630,Tillverkning av verktyg och redskap
25.910,Tillverkning av stålfat o.d. behållare
25.920,Tillverkning av lättmetallförpackningar
25.930,Tillverkning av metalltrådvaror kedjor och fjädrar
25.940,Tillverkning av nitar och skruvar
25.991,Tillverkning av diskbänkar sanitetsgods m.m. av metall för byggändamål
25.999,Diverse övrig metallvarutillverkning
26.110,Tillverkning av elektroniska komponenter
